label,HeightWidthRatio,MajorMinorRatio,BoundingBoxOccupancy,MaxStdXZ,HHmaxRatio,Height (mm),Distance (mm),P40
1,3.1667,2.9098,0.55367,126.0258,1.0324,1899.5366,1055.9988,0.04731
1,3.3067,2.9699,0.47876,125.5657,1.1251,2070.1193,1065.9506,0.048175
1,3.1408,3.0506,0.54374,123.157,1.0161,1869.6442,1055.4955,0.05018
1,3.4306,3.1435,0.48859,124.5614,1.1251,2070.1193,1076.1464,0.047877
1,3.6324,3.3012,0.49744,123.6089,1.1251,2070.1193,1075.5053,0.052543
1,3.3788,3.4746,0.54308,121.883,1.0174,1872.0175,1065.8971,0.054923
1,3.3636,3.5179,0.52355,122.429,0.98797,1817.8588,1076.0167,0.059575
1,3.1739,3.2962,0.48442,123.8245,0.97907,1801.4878,1074.7731,0.047814
1,3.4531,3.4923,0.50834,123.5248,0.97907,1801.4878,1067.8731,0.051043
1,3.6618,3.4449,0.4371,127.3268,1.1251,2070.1193,1090.5386,0.043643
1,3.2424,3.5455,0.46701,124.823,0.98699,1816.0652,1100.8703,0.036992
1,3.4925,3.783,0.42289,123.0758,1.0324,1899.5366,1081.0993,0.054751
1,3.0882,3.4521,0.44307,123.1655,0.97963,1802.5244,1087.9083,0.030188
1,2.6515,3.0049,0.48407,115.9348,0.85824,1579.1588,1014.2394,0.032016
1,3.0299,3.4546,0.44798,119.4,0.98242,1807.6439,1108.4776,0.018218
1,3.0758,3.6021,0.47179,117.9903,0.99417,1829.2702,1094.8174,0.03607
1,2.913,3.4195,0.44228,117.5893,1.0324,1899.5366,1135.4631,0.006521
1,3.2687,3.614,0.41914,116.3179,1.1251,2070.1193,1154.8581,0.0043902
1,2.8657,3.3607,0.50956,113.8614,0.99301,1827.132,1131.6591,0.0042715
1,2.8986,3.4191,0.50522,112.7119,0.99499,1830.7773,1111.9615,0.019363
1,3.1594,3.3945,0.47926,111.1968,1.1251,2070.1193,1127.1908,0.0087391
1,2.9595,3.0987,0.47075,116.0243,1.1251,2070.1193,1136.2992,0.008258
1,3,3.0724,0.48168,116.1667,1.1251,2070.1193,1123.0595,0.012511
1,2.5714,2.6954,0.53214,123.336,0.98981,1821.2415,1115.522,0.0055467
1,2.8312,2.7208,0.50953,124.8275,1.1251,2070.1193,1116.1744,0.0051444
1,2.7407,2.69,0.49516,128.51,1.1251,2070.1193,1103.3767,0.0071878
1,2.4337,2.5661,0.5464,132.3918,1.0266,1888.9666,1091.961,0.0094968
1,2.5714,2.5135,0.60777,132.4712,1.0266,1888.9666,1083.1858,0.0072307
